review_number,facility_ind,security_ind,pricing_ind,location_ind,fb_ind,housekeep_ind,frontoff_ind,Others,cons
15,1,0,0,0,0,0,0,0,water display patch bellagio vega
18,1,0,0,0,0,0,0,0,rooftop pool crowd
18,0,0,0,0,0,0,1,0,hotel lobbi public concours
18,0,0,0,0,0,0,0,1,member staff meet greet imperson hotel
19,0,0,0,0,0,0,1,0,wait hour checkin big joke
19,0,0,1,0,0,0,0,0,overal servic provid price way high
19,0,0,1,0,0,0,0,0,dont even breakfast go hostel guesthous part singapor pay time cheaper get breakfast kind ridicul disappoint hotel scale worst valu money yeah enjoy pool view day take photo move
20,1,0,0,0,0,1,0,0,noth note room decor amaz nice
23,0,0,0,0,1,0,0,0,would suggest food varieti breakfast
24,1,0,0,0,0,0,0,0,pool overcrowd
25,0,0,0,0,0,0,0,1,realli big hotel complet anonym absolut interact staff except polic access pool
25,0,0,1,0,0,0,0,0,didnt breakfast pp seem excesss plus massiv line
25,1,0,0,0,0,0,0,0,would interest see would worth room noth special trick could room midpric hotel around world aircon noisey
25,0,0,0,0,0,0,0,1,would prefer small boutiqu hotel singapor rome thing like fact couldnt stay anoth night new year eve hotel serious fulli book
27,1,0,0,0,0,0,0,0,though bathroom big conveni take shower
27,0,0,1,0,0,0,1,0,hotel fee expens drink snack free room suggest refer shangrila give free welcom drink custom
27,0,0,0,0,0,1,0,0,second put pair slipper bathroom shower use
28,1,0,0,1,0,0,0,0,busi centr hotel complex make separ trip busi centr print board pass hotel unabl provid facil
29,0,0,0,0,0,1,0,0,room clean towel replac hour upset
30,1,0,0,0,0,0,0,0,room air condit kept revert morgu temperatur matter tri cold everi time came back room
30,0,0,0,0,0,0,0,1,big walk around hotel take littl
30,0,0,0,0,0,0,1,0,lobbi busi
31,1,0,0,0,0,1,0,0,room outdat ive much better modern room half price balconi could use quick mop track drawer open look like filth crumb someth
31,0,0,1,0,0,0,0,1,dont use paper cloth laundri bag im assum that got extra taken arrang price credit card
32,0,0,1,0,0,0,0,0,pricey wine drink upper floor place go budget
32,0,0,0,0,0,1,0,0,problem minibar unabl resolv end pay drink never
32,1,0,0,0,0,0,0,0,small balconi enough room stand outsid
35,1,0,1,0,0,0,0,0,room like regular room express price
35,1,0,0,0,0,0,0,0,water pool cold
40,0,1,0,0,0,0,0,0,need card swipe mani time pool elev appreci secur alreadi stay floor hotel ground level abl use card
41,0,0,0,0,0,0,0,1,shame price book com exclud fee tax made differ
41,1,0,1,0,0,0,0,0,disappoint breakfast includ room actual quit basic
41,0,0,0,0,0,0,1,0,check slow
41,1,0,0,0,0,0,0,0,chang lift twice get pool annoy time consum
42,1,0,0,0,0,0,1,0,hotel crowd staff check us check counter friend ask us whether use room mini bar told said dont place deposit room without tell us fridg lock cant put water fridg
43,0,0,1,0,0,0,0,0,breakfast includ room rate
44,1,0,0,0,0,0,0,1,hotel realli feel like casino hotelmal true luxuri hotel custom servic decent bed firm brick
44,0,0,0,0,1,0,0,0,also breakfast buffet okay seem pretti lame compar conrad singapor
45,1,0,0,0,0,0,0,0,bed famili suit bit hard tast
46,0,0,0,0,1,0,0,0,yes think food menu swim pool light morn especi glutenfre guest like
48,0,0,0,0,0,1,0,0,balconi dirti dont feel like stepe
48,0,0,0,0,0,0,1,0,check took hour pm receiv card pm plus checkout time pay much hour
48,0,0,0,0,0,0,1,0,enough seat lobbi famili sit check
48,0,0,0,0,0,0,1,0,late checkout could provid could enjoy pool warmer time day
48,1,0,0,0,0,0,0,0,said checkout shower pool area bizzar pool area decent chang room enough shower shower cater everyon
50,1,0,0,0,0,0,0,0,room doesnt even vaniti kit
50,1,0,0,0,0,0,0,0,pool water good crowd well
50,0,0,1,0,0,0,0,0,worth money feel wast money stay night night enough
53,0,0,1,0,0,0,0,0,thought restaur price expens
54,0,0,1,0,0,0,1,0,forgot item hotel room upon check locat quick nevertheless offer deliv grand hyatt cost taxi think hotel class highest rate singapor offer cost second staff abl find someon day eventu took taxi back hotel
55,0,0,0,0,0,1,0,1,room smelt like vomit way mani peopl everywher
55,0,0,0,0,0,0,1,0,chaotic say least check inout massiv queue move slowli express check opt yet receiv bill hour
56,0,0,0,0,0,0,0,1,mind breakfast could includ via book upon checkingin upgrad better room respect higher accommod charg
57,0,0,0,0,0,0,1,0,long flight check x room one readi told would coupl hour would let us know whendu weather squeez one room piec luggag whilst wait second roomaft hour told still readi hour final pm call recept told readi got key right opposit room guess readi hour saw maid leav basic never check
57,1,0,0,0,0,0,1,0,also extra bed daughter turn late night wrap plastic rock hard uncomfort even child
58,0,0,0,0,0,0,1,0,check realli busi long wait
59,1,0,0,0,1,1,0,1,nois air condit terribl servic poor food sur staff attitud pool overcrowd space sit also dirti
61,0,0,0,0,0,0,0,1,quot book com charg higher rate book com explan
61,0,0,1,0,0,0,0,0,free breakfast everi place singapor offer free breakfast
62,0,0,0,0,0,0,0,1,maintain ongo floor given us henc unfair wrong
63,1,0,0,0,0,0,0,0,toilet room could need renov
63,0,0,0,0,0,1,0,0,toilet seat flimsi
63,0,0,0,0,0,1,0,0,bathroom look bit dull dont know wasnt clean proper expect shinier one would expect reput hotel
63,1,0,0,0,0,0,0,0,infin pool stay open longer period time resort stay past pool stay open
65,1,0,0,0,0,0,1,0,check ridicul wait lift min lost count mani lift full direct full level one tri get check
65,1,0,0,0,0,0,0,0,bed soft use much sink one side much much uneven hardnesssurfac pleasant sleep
65,1,0,0,0,0,0,0,0,door bell soft hear room servic staff came help us check
65,1,0,0,0,0,0,0,0,water infin pool tad cold
67,0,0,0,0,0,0,1,0,check slow
67,0,0,0,0,0,0,0,1,limit inform hotel amen eg knew restaur didnt know serv style
67,0,0,0,0,0,0,0,1,two room didnt join problem children room key deactiv wast time get new card wake
68,1,0,0,0,0,0,1,1,hotel seem look musthav stop everi tourist singapor result crowd especi lobbi pool
69,0,0,0,0,0,0,1,0,pay price star hotel get treatment star hotel staff wasnt rude wasnt friend either check checkout felt burden need assist wait long queue check ask us want carri bag room need assist mayb carri backpack sauna staff member told us couldnt lay back sauna site even though nobodi els sauna plenti room sum felt control neglect whole time
70,1,0,0,0,0,0,0,0,pool super busi afternoon manag get two seat next right pool bit search
71,0,0,0,0,0,0,0,1,busi
71,0,0,0,0,0,0,1,0,staff treat nice talk mani peopl lot peopl lobbi guest check place staff howev super nice everywher els known guest
72,0,0,0,0,0,0,0,1,let face peopl check get access top area infin pool
72,1,0,0,0,0,0,0,0,room decor quit basic frank outdat hotel class signific price rang interior need facelift match uniqu shape build ambiti price strategi
72,1,0,0,0,0,0,0,0,water pool terribl cold strategi keep guest short time possibl
73,0,0,0,1,0,0,0,0,didnt like walk tower three two workout steam pool ce la vie happen five plus time day took time
73,1,0,0,0,0,0,0,0,elev slower ny counterpart
74,0,0,0,0,0,0,0,1,felt busi wad absolut feel exclus want consid room rate
74,1,0,0,0,0,0,0,0,pool good view cold lot sun bed shade full peopl constant take selfi
74,0,0,0,0,1,0,1,1,queue everyth check breakfast get towel
74,0,0,0,0,0,0,0,1,lack charact prestig
74,0,0,0,0,0,0,0,1,bit gimmick
75,0,0,0,0,0,0,1,0,checkin take long time minut
75,1,0,0,0,0,0,0,0,mattress pillow premier harbour view room hard uncomfort
76,0,0,1,0,0,0,1,0,charg much dont give welcom drink hot towelchek pm chek fair think pay much money hour hotel
76,1,0,0,0,0,0,0,0,room decor old
78,0,0,1,0,0,0,0,0,noth actual expens though
81,1,0,0,0,0,0,0,0,pool heat got water sake take pictur hubbi didnt disappoint jacuzzi peopl could use time
81,1,0,0,0,0,0,0,0,room noth special room star hotel night transfer way better
82,0,0,1,0,0,0,0,0,price think could breakfast includ
84,1,0,0,0,0,0,0,1,hotel couldnt see hospit big realli nice shop center room place seat like sofa without pay found valu money
86,0,0,0,0,0,0,0,1,told book direct hotel could gotten discount
87,0,0,0,0,0,1,0,0,shower smell aw made better showerus shampoobodi wash
87,0,0,0,0,0,0,1,0,lobbi extrem overcrowd loud
88,0,0,0,0,0,0,1,0,ask submit passport guest inform one day advanc checkin process slow
88,1,0,0,0,0,0,0,0,poor internet connect star hotel
88,1,0,0,0,0,0,0,0,general crowd especi pool area spent littl time
89,1,0,0,0,0,0,0,0,bed hard
89,0,0,0,0,0,0,0,1,parti go near us noisi
90,0,0,1,0,0,0,0,0,lose point come valu overpr
90,0,0,1,0,1,0,0,0,restaur food drink way price food anyth world spectacular
92,0,0,1,0,0,0,0,0,food overpr
92,0,0,0,0,1,0,0,0,hard get reserv restaur guest hotel prioriti come make dinner reserv
92,0,0,0,1,0,0,0,0,busi center pretti far hotel room
93,0,0,0,0,0,0,0,1,nois road hotel
94,0,0,1,0,0,0,0,0,price high
95,0,0,0,0,0,1,0,0,dirti glass room room smelt musti horribl
95,0,0,0,0,0,0,0,1,imperson hotel authent feel full peopl take selfi terribl
96,0,0,0,1,0,0,0,0,couldv option dine conveni locat
98,1,0,0,0,0,0,0,0,room aircon problem fix
98,0,0,0,0,1,0,0,0,mani vegetarian indian food option avail menu
99,1,0,0,0,0,0,0,1,could get us twinb room one queenb sleepingcouch comfort
99,0,0,1,0,0,0,0,0,price bit high tho actual get spectacular view access infinitypool
99,0,0,1,0,0,0,0,0,peopl averag economi stay one night probabl option
100,0,0,0,0,1,0,0,0,although breakfast area hotel space enough number guest serv
100,0,0,0,0,1,0,0,0,breakfast area minut wait list
100,1,0,0,0,0,0,0,0,thing lift
100,1,0,0,0,0,0,0,0,lift traffic level hotel
101,0,0,0,0,0,0,0,1,mani peopl
102,0,0,1,0,0,0,0,0,check advis regist lifestyl member get breakfast discount etc
104,0,0,0,0,0,0,0,1,big time felt like las vega hotel
107,0,0,0,0,0,0,0,1,shop man one store rude couldnt tell pool said stay told direct let know stay told go front desk didnt know even though store marina bay sand hotel
107,1,0,0,0,0,0,0,1,pool hour lot tourist forc leav pm five star hotel rude pool area
107,0,1,0,0,0,0,0,0,lot tourist everywher see go write review treatment especi night secur guard peopl couldnt leav exit lock stood said cant help cant let problem
107,0,0,0,0,1,0,0,0,buffet lunch front desk rude tourist unfriend put singaporean first rude tourist
107,0,1,0,0,0,0,0,1,indian secur lift rude daughter rude chines peopl wel report manag manag pleasant said would investig manner manag pleasant said would look shop man manner well need train public relat
109,1,0,0,0,0,0,0,0,pool area could cleaner
109,0,0,0,0,0,0,0,1,overal hotel crowd staff polit
109,0,0,1,0,0,0,0,0,pay x star hotel singapor disappoint stay
109,1,0,0,0,0,0,1,0,shangrila exampl better warmer welcom room qualiti level pool also nice air crowd selfi lover
110,1,0,0,0,0,0,0,0,whole properti could lit outsid bit better night
110,1,0,0,0,0,0,0,0,icon ship shape encapsul littl light go long way
111,0,0,1,0,0,0,0,0,expens eat drink hotel
112,0,0,1,0,0,0,0,0,expens yet breakfast includ never use
112,0,0,1,0,0,0,0,0,furthermor tax quot price took dollar deposit account worst hotel stay
115,1,0,0,0,0,0,0,0,water pool cold
116,0,0,1,0,0,0,0,0,bit pricey
116,1,0,0,0,0,0,0,0,icon pool bit crowd
118,1,0,0,0,0,0,0,0,air condit room realli noisi
120,0,0,1,0,0,0,0,0,general room price includ breakfast justifi
120,1,0,0,0,0,0,0,0,take closer look recogn everyth rather loveless cheapli arrang exampl old fashion furnitur room ceil panel screw stick cm
120,1,0,0,0,0,1,0,0,toilet pool area outdat unhygien
120,0,0,0,0,0,1,0,0,awar high humid singapor everi corridor penetr humid musti smell notic
121,0,0,0,0,0,0,0,1,crowd peac return room
122,0,0,1,0,0,0,0,0,way price get night two room aud
122,0,0,1,0,0,0,0,0,anoth two breakfast one buffet dinner famili
122,0,0,1,0,0,0,0,0,everi thing crazi expens
122,0,0,1,0,0,1,0,0,alot better overal two night one day state peopl stay thing provid like cup slipper etc price over room
125,0,0,1,0,0,0,0,0,view nice paid one night stay kind regret decis
125,0,0,1,0,0,0,0,0,everyth pricey
126,1,0,0,0,0,0,0,0,absolut worst bed ever hard slept couch
126,1,0,0,0,0,0,0,0,room subpar pay
126,1,0,1,0,0,0,0,0,much nicer plusher room much less elsewher
126,0,0,0,0,1,0,0,1,staff around hotel restaur store friend
126,0,0,1,0,0,0,0,0,price rate would stay
127,1,1,0,0,0,0,0,0,pool area bit chaotic messi secur around pool overzeal put half much effort servic make sure everyon access pool regist guest would nice
127,0,0,1,0,0,0,0,0,wouldnt stay bc pricey better servic hotel across bay price id say everyon stay bucket list item fulli recommend
128,0,0,1,0,0,0,0,0,everyth pricey worth visit
128,1,0,0,0,0,0,0,0,wall sound proof could hear convers surround room
129,1,0,1,0,0,0,1,0,bed feel like lay concret slab th floor odor smell like gas hit nostril soon got elev smell nauseat fianc threw twice night fought bodi attempt throw complain front desk sent janitor place singl fan hallway littl noth last night singapor abl sleep taxi airport schedul upon checkout address smell check person basic said sorri noth night room someth sir place suck wouldnt stay stay real hotel visit marina bay sand tourist stuff place dump
130,1,0,0,0,0,0,0,0,pool cold
132,1,0,0,0,0,0,0,0,access room one area build multipl access point wouldv use consid enorm place
133,1,0,0,0,0,0,0,0,pool water cold
136,0,0,1,0,1,0,0,0,eat one skypark restaur must either hotel guest buy ticket skypark guest visit us unabl dine ridicul extra cost
136,0,0,0,0,0,0,0,1,mani peopl walk build guest behav bad push shove anyon disabl
137,1,0,0,0,0,0,0,0,say kid stay free excel facil sleeper couch sleep expect share bed year old book night
138,1,0,0,0,0,0,0,0,better light full length mirror difficult appli make dim yellow light
138,1,0,0,0,0,0,0,0,clock room
139,0,0,1,0,0,0,0,0,fact didnt get paid overr expens hotel
140,1,0,0,0,0,0,0,0,access rooftop pool observ deck requir multipl elev transfer tower elev goe direct th floor observatorypool deck
140,1,0,0,0,0,0,0,0,would better gym open hour earlier
141,1,0,0,0,0,0,0,0,tbh swim infin pool freez cold wasnt great swim experi amaz view made
142,0,0,0,0,0,0,0,1,realli disappoint didnt prepar anyth honeymoon even flower howev hotel amaz arrang us free
142,0,0,0,0,0,0,0,1,tower old good tower tri tower book last year construct area near level near
143,1,0,0,0,0,0,0,0,infin pool extrem dirti star hotel without word
144,1,0,0,0,0,0,0,0,visit locat famili children expect entertain cant find except infin pool pleas improv facil children thank
145,1,0,0,0,0,0,0,0,toiletri smell strong suitabl sensit peopl
146,1,0,0,0,0,0,0,0,internet signal problemat mani area anyon need bit normal usag like
147,0,0,1,0,0,0,0,1,understaf overpr room regular start design
147,0,0,0,0,1,0,1,0,checkout autom minibar thank ad inconveni
148,1,0,1,0,0,0,0,0,room werent uniqu except price paid per night still solid
152,0,0,0,0,0,0,0,1,big hotel walk long way get anyth
154,0,0,0,0,0,0,1,0,clear get voucher park hotel guest visitor would make sens function concierg rather check incheck counter
156,1,0,0,0,0,0,0,0,one heat jacuzzi warm enough
156,0,0,0,0,0,0,1,0,waiter deck quit slow process payment went credit card go check twice see payment process
158,1,0,0,0,0,0,0,0,toilet provid hose clean purpos shower room bath tub door may make guess feel cold shower bath even main bathroom door close
159,0,0,0,0,0,1,0,0,crumb pilllow upon check long hair wall shower room
159,0,0,1,0,0,0,0,0,restaur price
159,1,0,0,0,0,0,0,0,elev busi difficult get around
159,1,0,0,0,0,0,0,0,take lift get gym
159,1,0,0,0,0,0,0,0,gym good view disappoint size larg hotel
159,0,0,0,0,0,1,0,0,balconi unclean
160,0,0,0,0,0,1,0,0,small spider room sure came extra bed
160,1,0,0,0,0,0,0,0,also jacuzzi pool crowd comfort sit close hot pool might better number peopl control
161,0,0,0,0,0,0,1,0,hour check
161,0,0,0,0,1,0,0,0,good option breakfast
161,0,0,0,0,0,0,1,0,sit wait check
161,0,0,0,0,0,0,0,1,staff friend
161,0,0,0,0,0,0,0,1,crowd everywher
161,0,1,0,0,0,0,0,0,deactiv access card check
162,1,0,0,0,0,0,1,0,crowd prepar pool pack everyth pack odd one sear whole hotel sit lobbi guess cut crowd size
163,0,0,0,0,1,0,0,0,tabl clean roomservic breakfast though understand busi time
164,0,0,1,0,0,0,0,0,need pay park despit hotel guest valet park
166,0,0,1,0,0,0,0,0,price anyth come food drink crazi
166,1,0,0,0,0,0,0,0,gym shower room ridicul small amount guest three shower hotel size joke
166,1,0,0,0,0,0,0,0,locker room tini your top one anoth tri chang anyth matter understand mani wont use shower locat gym got back room even bigger
166,1,0,0,0,0,0,0,0,room larg balconi great bed hard rock didnt sheet
166,1,0,0,0,0,0,0,0,comfortor fit sheet sheet feel properti get built much base view pool rather underwhelm rest
166,0,0,1,0,0,0,0,0,ive stay hotel vega fraction cost x luxuri pretti disappoint wish would kept origin hotel rather switch mbs
167,1,0,0,0,0,0,0,0,bed comfort
167,1,0,0,0,0,0,0,0,pillow hard
167,1,0,0,0,0,0,0,0,fan air condit loud night
168,0,0,0,0,0,1,0,0,pillow blue one odor think clean
168,1,0,0,0,0,0,0,0,sauna littl bit small
170,0,0,0,0,0,0,1,0,check tower doesnt wait area custom wait check
171,0,0,0,0,0,0,0,1,properti realli crowd
171,0,0,0,0,0,0,1,0,know big tourist attract lobbi area felt like train station
173,0,0,0,0,0,0,1,0,checkin queue unbeliev longer hotel
173,1,0,0,0,0,0,0,0,lift alway busi time
173,1,0,0,0,0,0,0,0,infin pool crowd selfi swim
174,1,0,0,0,0,0,0,0,pool cold
174,0,0,0,0,0,0,0,1,breakfast option offer book book com
174,0,0,0,0,0,0,1,0,want membership said system work fill form ask come back
174,0,0,0,0,0,0,1,0,check get point spent room outlet dinner breakfast
175,1,0,0,0,0,0,0,0,lift slow
175,0,0,1,0,0,0,0,0,everyth extrem unreason price
175,0,0,1,0,0,0,0,0,usual offer free continent breakfast hotel buy per person that cheap breakfast
175,0,0,1,0,0,0,0,0,buy small beer room
175,0,0,1,0,0,0,0,0,cocktail sky garden coast
175,0,0,1,0,0,0,0,0,stay hotel one night plus food coupl drink cost us entir three week trip singapor bali minus airfar
175,1,0,0,0,0,0,0,0,infin pool cool heck yeah cool heck
177,1,0,0,0,0,0,0,0,qualiti toilet roll although might seem petti imag hotel portray better qualiti
177,0,0,0,0,0,0,0,1,imperson interact person level anoth guest
178,0,0,1,0,0,0,0,0,expens store lobbi
179,1,0,0,0,0,0,0,0,sand best pool ever probabl best room
179,1,0,0,0,0,0,0,0,room spacious provid basic necess everyth everyth basic qualiti
179,1,0,1,0,0,0,0,0,hard toothbrush cheap cotton bud choic pillow littl old bath tub breakfast includ couldnt turn tv provid lot clean towel
179,1,0,0,0,0,0,0,0,one thing pool freez cold understand wind high rise would much better warm pool
182,0,0,0,0,0,1,0,0,room cleanli standard
182,0,0,0,0,0,0,1,0,stand line least half hour check
182,1,0,0,0,0,0,0,0,could peopl talk nearbi room
184,0,0,0,0,1,0,0,0,get food drink around pool slow need staff work
185,1,0,0,0,0,0,0,0,bathroom larg nice howev shower miss hand shower
185,1,0,0,0,0,0,0,0,midnight call util servic becau toilet stuck
189,0,0,1,0,0,0,0,0,littl pricey massiv
189,1,0,0,0,0,0,0,0,gym surpris small basic epic properti
191,0,0,0,0,0,0,1,0,checkout terribl plain year morn
191,0,0,0,0,0,0,1,0,recept desk open amt hey say drop card box sort later one ye send like hotel invoic pay bigger price didnt got didnt receiv yet
192,1,0,0,0,0,0,0,0,price expect room qualiti similar four season ritz carlton howev room look like regular star us part asia
192,1,0,0,0,0,0,0,0,pool sun deck super crowd like carribean cruis ship difficult get proper swim exercis
193,0,0,0,0,0,0,0,1,construct go nearbi room heard drill two day
193,0,0,0,0,0,0,0,1,busi crowd hotel
194,0,0,0,0,0,0,0,1,happen marathon around hotel road block everywher inform abl access hotel car googl map hotel staff abl give right direct drive hotel car park need park suntec citi detour road hour plus took mrt hotel final check pm trip plan mother law wheelchair abl bring due inaccess car even taxi grab gojek driver refus take job frustrat
196,0,0,0,0,0,0,1,1,recept checkin slow unaccept star famous expens hotel didnt tell build work drill right floor
196,1,0,1,0,0,0,0,0,room next door drainag problem caus bad smell end chang smaller room still paid price along inconveni move room
197,0,0,0,0,0,0,0,1,like massiv shop mall casino attach hotel feel imperson fill brim tourist tri access skypark feel like mass chain product hotel
198,1,0,0,0,0,0,0,0,didnt enjoy bed felt bit harder use mattress prefer sleep softer fluffier
199,0,0,1,0,0,0,0,0,expens
199,1,0,0,0,0,0,0,1,huge crowd may take time get lobbi lower floor rush hour around lift go full
199,1,0,0,0,0,0,0,0,room quit simpl given exterior design build
200,0,0,1,0,0,0,0,0,breakfast tasti great viraeti delici meal cost around singapor dollar
201,0,0,1,0,0,0,0,0,wouldnt mind breakfast includ
203,0,0,0,0,1,0,0,0,enough staff work pool drinksfood order
203,0,0,0,0,1,0,0,0,staff work quick possibl wait almost hour get drink wasnt abl go bar
203,0,0,0,0,0,0,1,0,check longer use facil shame amount money pay
204,0,0,0,0,0,0,1,0,poor check experi
204,0,0,0,0,0,0,1,0,receptionist mark extrem rude upon check demonstr poor listen skill later confirm guest check would prefer profession attitud front desk well known high class properti
205,0,0,0,0,0,0,1,0,receiv confirm instruct check
205,0,0,0,0,0,0,1,0,hotel check desk sent around back fort tri figur desk check
205,0,0,0,0,0,0,1,0,hour flight last thing want walk back fort long hotel lobbi tri figur need check
208,0,0,1,0,0,0,0,0,take photograph pool offici photograph take mine couldnt buy one buy minimum booklet initi cost dollar got dollar still pricey photograph
210,0,1,0,0,0,0,0,0,nuisanc take room keycard bag time swipe everywher went top floor go infin pool observ deck restaur would better give guest hotel lanyard keycard attach like cruis ship differenti outsid visitor
211,1,0,0,0,0,0,0,0,pool littl bit crowd expect
211,1,0,0,0,0,0,0,0,water pool could warmer
212,1,0,0,0,0,0,0,0,room advertis suitabl peopl two singl bed ask room adult year old bed total inadequ get extra bed pay disappoint
213,0,0,0,0,0,0,1,0,long queue check counter long queue lift
213,1,0,0,0,0,0,0,0,night club oper night
214,0,0,0,0,1,0,0,0,mani peopl food select extrem poor hotel cater asian american
214,0,0,1,0,1,0,0,0,hrs food servic anywher hotel extrem expens
216,0,0,1,0,0,0,0,0,expens properti get pay
217,0,0,0,1,0,0,1,0,shuttl servic airport long wait time checkin
219,0,0,0,0,0,0,1,0,lobbi terribl way big seat whatsoev
219,0,0,0,0,0,0,1,0,check wait car liter nowher sit resembl huge airport termin peopl suitcas move everywher
219,0,0,0,0,0,0,1,0,group tourist endless walk lobbi make crowd even wors allow hotel high price rang
221,1,0,0,0,0,0,1,0,didnt check pm room still readi inconveni hotel worker room whilst tri get readi
221,0,0,1,0,0,0,0,0,also charg dollar bucket ice room
221,1,0,0,0,0,0,0,0,basic standard hotel room underwhelm
223,1,0,0,0,0,0,0,0,bidet water hose next toilet inconveni
224,0,0,0,1,0,0,0,0,access tofrom garden baymrt confus time caus walk long way round outsid hotel singapor heathumid ideal
226,1,0,0,0,0,0,0,0,bigger bed guest comfort bit hard bed size adult share
227,1,0,0,0,0,0,0,0,expect get luxuri room quit standard larg room
227,1,0,0,0,0,0,0,0,realli rigor level hotel receiv condition shampoo one shower gel
228,0,0,1,0,0,0,0,0,expens
230,1,0,0,0,0,0,0,0,view rooftop swim pool hotel doesnt realli lot place explor
230,0,0,0,0,0,0,0,1,ground level hotel felt bit cram
230,0,0,0,0,0,0,0,1,near shop centr experi felt im live shop centr
232,0,0,0,0,0,0,0,1,book room sit tourist attract peopl scrambl sun bed nowher realli relax
233,1,0,0,0,0,0,0,0,great replac plastic electr kettl stainless steel one
236,0,0,0,0,0,0,1,0,real problem except overcrowd lobbi make realli hard get hotel
237,1,0,0,0,0,0,1,0,arriv properti got room find terribl drainagesew smell bathroom report front desk rectifi time return room hour later
238,0,0,1,0,0,0,0,0,quit prici expect
238,0,0,1,0,0,0,0,0,breakfast
241,0,0,0,0,0,0,0,1,friend birthday arrang sort birthday surpris room howev reciev noth
241,1,0,0,0,0,0,0,0,also horribl smell near water fountain pool bar
243,0,0,0,0,0,0,0,1,hotel artwork could origin
245,1,0,0,0,0,0,0,0,pool area crow day night
247,0,0,0,0,1,0,0,0,lavo bad dine experi
247,0,0,1,0,1,0,0,0,amaz food singapor touristi overpr restaur mediocr food asia
248,0,0,0,0,1,0,0,0,spago lack attent need color code servic
249,0,0,1,0,0,0,0,0,price compar hotel offer high
249,0,0,0,0,0,0,1,0,didnt give person feel fast check get next person person touch
250,0,0,0,0,0,0,1,0,earli check time
251,0,0,1,0,0,0,0,0,price insid hotel higher outsid hotel
252,1,0,1,0,0,0,0,0,room averag price
