,review_date,title,score,pos,cons,reviewer,review_country,stay_date
11,3 February 2020,"Overall, MBS was far far below my expectation for a super 5-star hotel.  Don't consider MBS hotel!!!",4.2,Nothing!,"The room price was extremely high (Singapore $1,000 or HK$5,800 per night!) but the services and facilities were far far below the standard for such a high price.  During check-in, although the staff was quite friendly, she did not inform me about the choice of rooms available to me and arranged a room facing the shopping mall instead of the garden.  She only gave me room key cards for adults but my kids could not enter to the swimming pool without the cards.  I was not informed at the check-in counter that the mini bar had been installed a wave sensor and I would be charged SG$177 if I moved the items stored in the mini bar!  I had to spend 15 minutes to argue with the check-out staff to dispute such unreasonable charge as I did not consume anything in the mini bar and I had to move the items because the mini bar was also a fridge and I had to store something in the fridge by taking out some items from the fridge and then putting them back later.  Although the swimming pool at the top roof was good, the quality of water was bad, the cleanliness around the swimming pool was bad, the attitude of the staff working in the swimming pool was very rough.  MBS Hotel was really bad and far far below my expectation.  I shall not stay in this hotel in the future again and I definitely do not recommend it to all other customers.",Ka,Hong Kong,January 2020
12,2 February 2020,"Great view, service can be improved",6.3,"This is our second time there. The first time we were underwhelmed by the room and the service. We were there for our honeymoon but they didn't bother preparing something extra special at all, which was a disappointment. This time, the lady at the check in counter was much nicer. We were upgraded to a room with a spectacular view which made the stay much more worthwhile.","The furniture and decor seems a bit outdated. In our huge room, there were no furniture occupying half the room which felt like wasted space. Service is hit or miss, and check in queues can be very long.",Anonymous,Canada,January 2020
13,2 February 2020,Casino resort more than a luxury hotel - absolutely not worth the price,5.8,The spa area is very large and nice for pictures,Genuinely terrible value for money. We could hear loud music from downstairs from the room until past midnight. Restaurants are not worth the price and one refused to serve us because one of our friends was wearing mid-length pants (I have never seen a dress code like this even in world-class restaurants). The hotel itself is too big and feels more like a massive resort than anything resembling a luxury hotel.,Anonymous,Chile,February 2020
14,2 February 2020,The staff are very nice.,9.6,The staff are very nice.,Escalator was not safe for kids as my daughter got injured when we used the escalator after we did shopping her foot went in and broke her slipper and had a big cut on her big left toe. And they dont have doctor to attend to my daughter only staff to clean the wound. Not very happy at all.,Stephanie,Australia,January 2020
15,2 February 2020,Recommend a visit but not to stay.,6.3,"On my bucket list was to stay in this hotel, and yes its an engineering marvel. I asked for a room on a higher floor but didn't get it. The manager actually phoned me up which was a nice surprise.","Its a large impersonal place. Too busy to relax. Full of transient people and the pool full of people taking selfies. Takes 3 lifts to get to the pool, which are shared with the transient visitors. The pool was cold. The bar at the top provided no service so couldn't get a drink and relax. The sun beds are all 'taken' so little chance of actually enjoying the pool during the day. The water display is not a patch on the Bellagio, Vegas. I'd suggest staying somewhere else and visiting.",John,New Zealand,January 2020
16,1 February 2020,Surprise by the birthday cake given by the hotel.,10.0,Surprise by the birthday cake given by the hotel. We enjoyed the room and the view to the garden by the bay. It’s breathtaking and swimming pool is adventurous for a first time traveller to Singapore. Location is excellent where assist to any transportation and connecting to major sight location by walk ( garden by the bay and art science museum.,Nothing we don’t like. It’s perfect,Iris,Hong Kong,February 2020
17,1 February 2020,A good five start hotel but overpriced(almost double the price) during the holiday season,8.3,"Stayed two nights.. Rooms are very good with almost everything available within hotel, the shopping mall attached and other attractions at walking distance. Apart from rooms and pool, hotel is not that beautiful from inside. sort of typical five start hotel.
For the infinity pool, its very good and awesome views. But during the day, pool is full of people and kids, all beach chairs occupied.. We did not bother going to the pool during the day as you cannot enjoy at all.. its like a public pool. The best time is to go to pool early in the morning(7am), only few people, beautiful sunrise views,  you can swim, enjoy the pool and views as well.",,Farrukh,Australia,January 2020
18,31 January 2020,Disappointing.,6.3,The views from the roof and roof top pool were very good.,"The rooftop pool too crowded.  The hotel ""lobby"" was a public concourse.  No members of staff to meet and greet, very impersonal hotel.",Ruth,United Kingdom,January 2020
19,31 January 2020,Great for 1 night,8.8,"Let’s face it, the hotel is amazing but we went there only for the pool.","Waiting 1 hour for check-in was a big joke. 
Overall for the services provided, the price is way too high. You don’t even have breakfast, while if you go in a hostel or a guesthouse in any part of Singapore, you pay 20 times cheaper and get breakfast (it’s what we did). It is kind of ridiculous and disappointing for a hotel of such scale. Worst value for money.
So yeah, enjoy the pool and the view for 1 day, take photos and then move on :)",Anonymous,Switzerland,January 2020
20,29 January 2020,An experience and it was worth it.,9.2,"The infinity pool is unbelievable. The view from up there is amazing. 
The staff were very friendly and helpful. 
The whole campus is amazing.","Nothing of note. The room decor is not amazing. But it is very nice. 
The hotel is also very busy (but there is plenty of room)",Martin,Ireland,January 2020
21,28 January 2020,Great staycation,8.8,"Room was clean and beautiful. My mom enjoyed the room very much with great view of the garden by the Bay.  A lot of activities available at the hotel.  We were not bored at all.  Considering size of the room, TV at the living room was kinda small.",NA,Anonymous,Singapore,January 2020
22,28 January 2020,Amazing infinity pool and view from the suite and all...,9.6,"Amazing infinity pool and view from the suite and all restaurants!
Great VIP access, fast and very friendly.
Casino staff was also patient and friendly with me as non experienced player!","Nothing really, perfect stay! Thank you, i will book again for sure!",Nicolas,Luxembourg,January 2020
23,28 January 2020,Impressive hotel with the best location,9.6,"The room was comfortable with a nice view over the city. Polite hotel staff and an impressive pool, too bad it was always crowded.",Everything was great. I would suggest more food variety at breakfast.,Constantin,Canada,January 2020
24,27 January 2020,"Beautiful,",10.0,"The hotel was beautiful, very big and busy. The staff were very nice and loved the access to Club 55 for breakfast, afternoon tea and cocktails. Pool is a bit overcrowded, but still worth a visit.",Just the pool being overcrowded.,Meagan,Australia,January 2020
25,27 January 2020,Impersonal place to stay,7.5,"We were able to check in early which was great. 
Room was simple with everything we needed. 
Pool was great to refresh after the heat of exploring Singapore. 
Lots of things walking distance to hotel or MRT station really close for those that don’t like walking.  
Entertaining to watch all the ridiculous ‘instagraming’ in and around the pool.","It’s a really big hotel where you are completely anonymous. Had absolutely no interaction with staff except in policing access to pool. 
We didn’t have breakfast because $53 pp seemed excesssive. Plus here were massive lines. Would be interested to see if it would be worth having. 
Room nothing special, but did the trick. Could have been a room in any mid-priced hotel around the world. Aircon was very noisey. 
Would have preferred a small boutique hotel, but it’s Singapore, so ‘when in Rome...’",Kelly,New Zealand,January 2020
26,26 January 2020,The place to be in Singapore,9.6,"Did not have the breakfast, too long a queue. The pool deck or infinity pool is a must see and swim. Very classy and friendly. Definitely, if you travel to Singapore, you must spend a night at the Marina Bay Sands.",The only thing I did not like was the fact that we couldn’t stay another 2 nights to New Year’s Eve. As the hotel was seriously fully booked.,William,Zimbabwe,December 2019
27,26 January 2020,"just so so, not worthy the price.",7.1,,"though the bathroom is very big, but it's not very convenient to take a shower. the hotel fee is very expensive but all the drinks and snacks are not free in the room. i suggest you can refer to Shangri-la give free welcome drinks to customers. secondly, put a pair of slippers in the bathroom for shower using.",Jiankang,China,January 2020
28,25 January 2020,"Excellent location, very beautiful restaurant",10.0,"Staff were very friendly and helpful.
Room had a lovely balcony overlooking the gardens and the ocean",Business Centre was not in the hotel complex. We had to make a separate trip to the Business Centre to print our Boarding Passes as the hotel was unable to provide this facility,Susanta,United Kingdom,January 2020
29,25 January 2020,"Views, hotel facilities are magnificent and links to Metro,...",10.0,"Views, hotel facilities are magnificent and links to Metro, quality interior design, location is wonderful by the Bay.","Room was not cleaned at all or towels replaced in 36 hours, very upset about this.",Mohammed,United Arab Emirates,January 2020
30,24 January 2020,Huge and beautiful,10.0,"They've got everything. The rooms we got had an amazing view. The baggage service is efficient and organised. They've got many high class restaurants on the roof and in the adjacent mall.
Roomy bathroom and shower.","The room air conditioning kept reverting to morgue temperatures no matter what we tried. We were very cold every time we came back to our rooms.
It's big. Walking around the hotel takes a little while.
The lobby is very busy.",Anonymous,United Kingdom,December 2019
31,24 January 2020,"So we paid $730 CND, i say for the pool and the bay view of...",8.3,"So we paid $730 CND, i say for the pool and the bay view of the room balcony is mainly why we got the room. for pictures Is that we got the place.","The room is outdated, I’ve being to much better modern rooms for half the price and the balcony could have used a quick mopping, same with the tracks of the drawers when i opened them it look like filth with crumbs of something on them. And don’t use their paper cloth laundry bag. I’m assuming that’s why I got an extra 20 taken out of the arrange price on my credit card.",Carlos,Canada,January 2020
32,24 January 2020,"Really enjoyed it, ticked the box, will not be staying again.",9.2,"We had a great room on the 33rd floor with a view of the gardens. Room was large, lovely bathroom. Easy access to Marina Bay shopping complex and the free light show every night. Pool is wonderful, nice bars also on the roof.","Very pricey for wine and drinks on the upper floors, not a place to go on a budget. Had a problem with the minibar and was unable to resolve, ended up have to to pay for drinks we never had. Small balcony, just enough room to stand outside.",Nick,United Kingdom,January 2020
33,24 January 2020,Nice experience,10.0,"We appreciated the easy way of doing the checkout. Also the view from our room at floor 52 as well as the view from the pool were amazing, couldn’t have enough of it :). 
Furthermore, as we were in our honeymoon, the staff offered us a plate of very good chocolates bites.",,Corina,Romania,December 2019
34,24 January 2020,It was great!,9.6,It was great! The garden view was more wonderful  than I expected. It was comfortable to stay with good facility or easy access to a popular tourist attraction. I recommended you stay in MBS:),,Anonymous,South Korea,January 2020
35,24 January 2020,The pool was amazing besides the water being cold.,9.6,The pool was amazing besides the water being cold. The views was stunning,The room was like a regular room with that very expressive price. The water at the pool was cold,Anonymous,USA,December 2019
36,23 January 2020,A luxury stay,9.6,"The location of the hotel was in the centre of everything. Close to shopping, sightseeing and restaurants. The room we were in had the water city view, which was great to watch day or night.",There's really no flaws about the hotel.,Suzanne,Australia,January 2020
37,22 January 2020,It is a privilege to stay at such an amazing hotel - staff was efficient and friendly - perfect stay,9.6,"- beautifully decorated rooms
- comfortable bed
- great bath and shower
- fantastic views
- very fast elevators
- integrated with MRT and shopping mall
- bill view on in-room TV
- early checkin once room became available
- anniversary cake baked by hotel
- in-room dining
- fast, easy and automated check-out",nothing!,Johan,South Africa,January 2020
38,22 January 2020,MBS is an awesome hotel and we enjoyed our stay during the...,8.8,"MBS is an awesome hotel and we enjoyed our stay during the honeymoon, however we have reserved dinner in LAVO restaurant through their desk in the lobby and when we went there for the dinner, no records were found and although we were seated, i was very frustrated. It ruined our night.",,Fahad,Saudi Arabia,January 2020
39,21 January 2020,Spectacular stay !!!,10.0,"Very luxurious hotel to stay in.  And location is great !  
Lots of thing to do in the hotel itself - love the fact that its connected to a spectacular shopping mall.",Nothing,Bradley,South Africa,December 2019
40,20 January 2020,Breakfast by the pool was good.,9.6,Breakfast by the pool was good. The brunch at RISE was amazing!,"Needed my card to swipe in to many times to the pool and elevator. I appreciate the security, but if I am already staying on a floor in the hotel that is not on the ground level, I should be able to not use my card.",Bruce,USA,January 2020
41,19 January 2020,Okay hotel but pool is cool,8.8,Views were good and the infinity pool is very cool,It's a shame the pricing on booking.com excluded fees and taxes. It made a difference of $100! Disappointing that no breakfast is included and the room was actually quite basic. Check in was slow. Having to change lifts twice to get to the pool is annoying and time consuming,Jawad,United Kingdom,January 2020
42,19 January 2020,I definitely won’t choose this hotel again if I were to go to Singapore again for holiday.,5.8,We enjoyed the Infinity pool and the surrounding area.,"This hotel is too crowded and the staff that check us in  at the check in counter was not friendly at all. He asked us whether we will be using the room’s mini bar, when we told him no, he said we don’t have to place the deposit for the room without telling us that the fridge will be locked. We can’t put our water in the fridge because of this.",Anonymous,Malaysia,December 2019
43,19 January 2020,The hotel design is an amazing structure and the pool area has a Breathe taking view of the city.,10.0,"The pool area is amazing and relaxing located on the 57th story with amazing view.
The hotel and the property around it is grate, easy to go around to the mall or the gardens by the bay, also it is very easy to reach to the under ground train.
One of the best places that I have been to.",The breakfast was not included in the room rate.,Mastermind609,Saudi Arabia,January 2020
44,19 January 2020,"The property has an excellent location, arguably the best in...",7.1,"The property has an excellent location, arguably the best in Singapore with wonderful views and a nice executive lounge. Rooms were nice and spacious.","The hotel really feels more like a casino hotel/mall than a true luxury hotel. Customer service was just decent and the bed was firm as a brick. 
Also the breakfast buffets are just okay, and seem pretty lame when compared to the Conrad Singapore.",David,Belgium,January 2020
45,18 January 2020,Everything.,9.6,"Everything. The location was amazing, walking distance to main attractions. The room was clean and the attention to details was appreciated. The staff was great and extremely friendly. The pool was the highlight of our stay, I would definitely recommend to do it early in the morning, we watched the sunrise once and we had the pool to ourselves.",The bed in the family suite was a bit hard for my taste.,Angelica,USA,December 2019
46,18 January 2020,It was a dream come true.,10.0,"It was a dream come true. We came all the way from Israel and really want to get this destination and sleep in this amazing hotel and not only that we get a room that have amazing view to the ""Gardens by the bay"" we have the priority to all the facilities in the building and it was very helpful because there is a lot of people from outside the hotel that came to see the hotel.
The staff (Especially the bellboys and the cleaner) was friendly, helpful and very kind.
We want to give our appreciation to the pool manager - Marecon that take care in proactive attitude our disappointed from the pool food menu.","Everything was perfect.
Yes we think that the food menu in the swimming pool was very light in the morning, especially for Gluten-Free guests like me.",Ohad,Israel,January 2020
47,18 January 2020,"Lovely location, room services and everything really.",10.0,"Lovely location, room services and everything really. Was perfect for the family to relax. Enjoyed dinner at the restaurants and enjoying everything close by.",,Carl,United Kingdom,December 2019
48,18 January 2020,Pool looked beautiful,3.8,Pool looked beautiful,"-Balcony so dirty...dont feel like steping out.
-check in took an hour...we were there at 3pm and only received our cards after 4pm. Plus checkout time was 11am. You pay so much for 19 hours only. Not enough seats in the lobby for family to sit while you check in.
- late checkout could not be provided so we could not enjoy the pool during the warmer times of the day...they said you can checkout and shower in the pool area....how bizzare the pool area does not have decent change room and enough showers (only 2 showers to cater for everyone).",Rw,Australia,January 2020
49,18 January 2020,A must stay for Singapore!,10.0,"Staff super friendly and accommodating, the whole marina Bay sands is like a city in itself! The food is just amazing and the shops 😍👌",This place was incredible! You couldn't not like it!,Nel,New Zealand,January 2020
50,18 January 2020,Location and view,6.7,Location and view,Room doesn’t even have vanity kits. And pool water is not very good. Too crowded as well. Not worth to money. Feeling waste money for staying 2 nights. 1 night is enough.,Xuan,Australia,January 2020
51,18 January 2020,A casino hotel where you don’t have to be a VIP.,9.6,Sensational engineering marvel and absolutely first class building and facilities. Very quiet rooms and excellent but very busy club floor. The staff are amazing!,It’s a little bureaucratic but I suppose with a resort that big there needs to be a bit of red tape.,Brett,Australia,January 2020
52,17 January 2020,Must stay when in Singapore,10.0,"The hotel is amazing, definitely exceeded expectations. From arrival, the staff was very nice and polite, we were taken to the VIP check-in area, given water and offered seats. We were also checked in early a bit early, which we are grateful for. The room was amazing, I definitely recommend the Garden view around the 20th floor, you can see the garden show from your room, its amazing! The casino is massive, must-see. The restaurants are nice. The pool and jacuzzi area is great!",,Nevena,United Kingdom,January 2020
53,17 January 2020,The location is excellent.,8.8,The location is excellent. We thought the accommodation was not as comfortable as other hotels we have stayed in the city.,We thought the restaurant prices were very expensive.,Roy,Australia,January 2020
54,16 January 2020,"Grande, as expected, been there before, but simply above the appropriate price levels",7.1,,"I forgot some items in the hotel room upon checking out. They were located quickly, nevertheless -1) I was offered to deliver to Grand Hyatt at a cost of taxi, which I think the hotel of this class, at the highest rates in Singapore, should offer to do at no cost. 2) Secondly, the staff was not able to find someone to do it during that day, and eventually I took a taxi back to hotel myself.",Harijs,Latvia,January 2020
55,16 January 2020,"Pool experience, sensational views and close proximity to...",8.3,"Pool experience, sensational views and close proximity to other sites. Staff amazing and helpful. Kids loved the whole experience.",Our room smelt like vomit and way too many people everywhere... chaotic to say the least. Check in/out were massive queues that moved slowly. They have express check out which we opted... yet to receive the bill and it has been 24 hours.,Emma,Australia,January 2020
56,16 January 2020,"It’s unique and amazing, breathtaking views.",9.6,"It’s unique and amazing, breathtaking views. However, mind that as being unique, it is way too crowded. Still, the staff handles the line very fast and kindly, with expertise.","Mind that breakfast could not be included via booking, you can do this only upon checking-in by upgrading to a better room (at the respective higher accommodation charge). However, staff is friendly and offers good deals.",Dima&damyan,Bulgaria,January 2020
57,15 January 2020,"huge hotel ,pot luck I suppose",6.7,roof top pool,"After a long flight we  checked in with 2 x rooms, one was ready and the other we was told would be a couple hours and would let us know when,Due to the weather we all squeezed into one room with 12 pieces of luggage whilst we waited for the second room,after 3 hours was told still not ready ,then 4 hours finally at 330pm after i called reception again we was told now ready when we got the keys it was right opposite our other room and guess what? this had been ready for 4 hours as we saw the maids leave! basically they never checked .Also extra bed for my daughter turned up late into the night and was wrapped in plastic and rock hard ,so very uncomfortable even for a child",Martin,United Kingdom,December 2019
58,15 January 2020,Perfect iconic stay,9.6,We had a fantastic spacious room. The staff were really friendly and efficient and gave us an early check in which was great after a long flight. The view from the 47th floor was amazing. The swimming pool and restaurants at the rooftop was so worth the stay!,Check in was really busy and a long wait.,Chris,Australia,January 2020
59,15 January 2020,Never again,2.9,"Nothing, worst 5 star hotel ever stayed in","Noise from air conditioning, terrible service, poor food, surly staff attitude, pool overcrowded and no space to sit also dirty.",William,United Kingdom,January 2020
60,15 January 2020,"The infinity pool is breathtaking indeed, but overall the...",8.3,"The infinity pool is breathtaking indeed, but overall the price is not worth it because the room is not special, you don’t have breakfast included or other facilities. You pay for the experience, it’s not a hotel anymore, but a museum.",,Flavia,Romania,January 2020
61,15 January 2020,Location,6.7,Location,"Was quoted by booking.com
Charged higher rate then booking.com quote, with no explanation
No free breakfast, every other place in Singapore offers free breakfast",Bryan,Australia,January 2020
62,15 January 2020,maintainance floor should not be given to guests at any cost,7.5,"the pool was just too good 
the restaurants were good but there can be more vegetarian options",the maintainance ongoing floor was given to us - hence that is just unfair and wrong,Piyush,India,January 2020
63,14 January 2020,"Staying at the Marina Bay Sands is an absolute MUST in Singapore, at least once!",9.2,"Curtains opening automatically upon entering the room, welcoming me to a great view. Room service was very quick and check-in staff were absolutely friendly, welcoming and very helpful. Overall impeccable customer service.",The toilet in my room could need a renovation. Toilet seat was flimsy. The bathroom looked a bit dull. Don’t know if it wasn’t cleaned properly but I was expecting it to be shinier as one would expect from such a reputable hotel. Infinity pool should stay open for a longer period of time. Resorts that I have stayed at in the past had pools that stayed open for 24/7,Anonymous,Australia,January 2020
64,14 January 2020,Amazing,10.0,"The hotel was amazing, the room was beautiful. The staff were really really great. A lady called Hill who checked us in was very helpful! The view is wonderful.",,Charlotte,United Kingdom,January 2020
65,14 January 2020,Exceptionally good hotel but also with exceptionally long elevator wait times never experienced b4,7.5,"1) U pay what u get, so its good that what the room came with was up to standard
2) Checking out - incredulous unsuccessful wait of 25min for a lift to get down (tried to go up as well as down but all the lifts were crazy full; we were at level 48). Went back to room to call to notify we will b late for check out but they arrange a staff to come up n bring us down via the service/staff lift - kudos for recognising the need for a flexible solution. 
3) room service was good , from making orders, arranging delivery time and delivery/set up
4) good touch to provide water, fruit punch, ice cream at the long queue of check in. 
Though, should b consistent when checking out which had long queue too","1) checking out - ridiculous wait for lift of 25min, lost count how many lifts were full. Both directions up or down were just too full. At level 48. We were not the only ones trying to get down to check out. 
2) bed was too soft / used too much - sinking on one side much much more. Uneven hardness/surface. Not a pleasant sleep
3) door bell was too soft to hear room service or staff who came up to help us check out. 
4) water in infinity pool a tad too cold",Anonymous,Singapore,January 2020
66,13 January 2020,Would love to book this hotel again at our next visit to Singapore,9.6,"As the iconic hotel in Singapore, definitely worth the try. the staff are all very friendly and helpful, very nice view in the room even in the lower floor. 
Also at the day we checked in was my BF's birthday, the hotel prepared a chocolate muse cake which is very lovely and delicious.",,Yoki,New Zealand,December 2019
67,13 January 2020,Interesting experience. Great pool. Kids loved it.,7.5,Quiet comfortable room. Great pool with amazing views.,Check in was very slow. Limited information on hotel amenities eg knew the restaurants but didn’t know what they served or style. Two rooms but they didn’t join which was a problem when children’s room keys were de-activated. We then had to waste time getting new cards (after having to wake them).,Pip,New Zealand,January 2020
68,12 January 2020,A crowded city in a city,7.9,"The hotel impresses outside and inside. Marina harbor, gardens and shopping mall are connected with the main building. Room on 17 level had a very big terrace. The 57th floor is something unforgetable","The hotel seems to be looks a must-have stop for every tourist in Singapore. As a result it is very crowded, especially the lobby and the pool",Alexey,Russia,January 2020
69,12 January 2020,Not a 5 star treatment,6.3,"Nice rooms, nice pool. When we reported our terrible experience, they apologized and gave us 25% of our money back","Here you pay the price of a 5 star hotel and get the treatment of a 2 star hotel. Staff wasn't rude but wasn't friendly either, from the check in until the checkout we felt that we were a burden  when we needed assistance. After waiting in the long queue to check in, they asked us if we wanted to carry our bags to the room or if we needed assistance to do it. Maybe it was because we were carrying backpacks. When at the sauna, a staff member told us we couldn't lay on our backs in the sauna, we should be sited only (even though there was nobody else at the sauna and plenty of room). To sum up, we felt controlled and neglected the whole time",Clarissa,Brazil,January 2020
70,12 January 2020,Fantastic,10.0,"It’s amazing.  Staying on 39th floor. Rooms were massive and had great views of the gardens.   
We did have an issue with drilling outside the room which was very annoying as we wanted a rest.  We did ring down to reception to complain ( which we never do).  This was swiftly resolved.  We was offered a room change but was informed that the drilling would only be another 30 mins so we declined this gesture and thought we would just deal with the noise. Then to our amazement we received another call offering us a bar tab in the cocktail bar for $50 This was greatly appreciated.  The first round of cocktails were amazing so we decided to have another and another and another.  When we asked to pay our bill for the additional drinks we had ordered and expected to pay for we was informed that the whole bill would be settled for us.   This was totally expected and greatly received.   
We spent the rest of our evening around the hotel and this was a great experience in all restaurants and bars. 
We had only decided to come 30mons before we checked in and we are so glad we experienced this amazing hotel.  
We also got up at 6am for a swim in the pools which was well worth it.",Pool was super busy in the afternoon but we did manage to get two seats next to each other right by the pool after a bit of searching.,Antony,United Kingdom,January 2020
71,11 January 2020,Super amazing infinity pool.,7.9,Super amazing infinity pool. Great service of food while sitting on the bench there. Bridge to the gardens by the bay makes life much easier.,"Very very busy. Some staff treat you not very nicely. Guess because they talk to too many people (there are a lot of people in the lobby that are not guests, just checking the place). The staff however is super nice everywhere else where it is known we are guests.",Youssef,USA,December 2019
72,11 January 2020,The view from the room was amazing.,7.5,"The view from the room was amazing.
The building itself is iconic and an architectural gem.
The staff are very well trained and considerate.
The express checkout works very well.","Let's face it, most people are checking in here to get access to the top area with the infinity pool. The room decor is quite basic and, frankly, outdated for a hotel of this class, and, the most significantly, of this price range. The interior needs a facelift to match the unique shape of the building and the ambitious pricing strategy.
The water in the pool is terribly cold, is this a strategy to keep guests in as short time as possible?",Julia,Norway,December 2019
73,11 January 2020,Majestic pool for me forever.,9.2,Pool. Steam and sauna were great,"I didn’t like having to walk from tower three to two for workout, steam and pool and Ce la vie. This happened five plus times a day and took time. Elevators are slower than NY counterparts.",Gordon,USA,January 2020
74,9 January 2020,Iconic building in a good location.,5.8,Iconic building in a good location. Nice bed. Great views from the top.,"We felt it was very busy there wad absolutely no feeling of exclusivity which you want considering the room rates! The pool had good views, but was cold, a lot of the sun beds in the shade and was full of people constantly taking selfies. You had to queue for everything: check in, breakfast, getting a towel! 
It lacked character and prestige. A bit of a gimmick. Overrated..",Chloe,United Kingdom,December 2019
75,7 January 2020,Post-Cruise,9.6,"Marine Bay Sands (MBS) - Great location and has a lot of buzz at the lobby from Tower 1 to 3.  Plenty of luxury shops and local food stalls at the food  court.  Access to food court located inside the hotel between Tower 2 and 3 using the escalator to B2.  Hotel is close-by (a 10 minutes taxi ride) to restaurants and to the Merlion.
The premier room is huge as well as the bathroom on the 42nd floor and great harbor view of Singapore from the room.  And greater view from the  57th floor where the famous infinity pool is located.",The check-in takes a long time (40 minutes).  The mattress and pillows in the Premier Harbour view room are hard and uncomfortable.,Florence,Canada,January 2020
76,7 January 2020,Pool and view,7.1,Pool and view,"They charge so much but they don’t give you any welcoming drinks of hot towel,chek in 3:00 pm but chek out 11:00 am this is not fair i think ! If you pay that much money you should have 24 hours in the hotel ! Room decoration is too old now !",Anonymous,India,January 2020
77,7 January 2020,The buffet breakfast was incredible!,9.6,The buffet breakfast was incredible! The views from the room were amazing. The location was perfect for those who like to walk to sightseeing locations in the area. It was close to everything we wanted to do.,,Anonymous,USA,December 2019
78,7 January 2020,Futuristic hotel with a craziest infinity pool ever 😲 the...,10.0,"Futuristic hotel with a craziest infinity pool ever 😲 the staff, location, plenty of restaurants and a food court nearby. It’s just amazing. I and my family enjoyed staying at this phenomenal hotel👍🇸🇬🏨",Nothings actually.,Reza,Sweden,January 2020
